what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286071932728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286071956658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286071958655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286071999121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072030493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072049587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072053082
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072073921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072075325
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072106572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286072455712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286072461687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072463668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072474859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072943844
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286072951491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286073137412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073139892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073169735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073180468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073181716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073185569
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073187161
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073187613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073284349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073285317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073859798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286073863058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286074161830
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286074162688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286074173904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286074227194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286074309859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286077952983
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286078022111
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286078050376
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1286078090230
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286078121596
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1286078139080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286078206616
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286078206776
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286078207312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286078210640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286078287168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286078289721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286078325577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286078532196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286078535816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286078539002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286078545731
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286078624658
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1286078651033
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286078908818
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286078909419
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1286079108785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286079200257
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286079204540
