what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1301033704970
arch,sysinfo,,,"x86_64",1301033704970
ws,sysinfo,,,"win32",1301033704970
locale,sysinfo,,,"en_US",1301033704970
processors,sysinfo,,,"2",1301033704971
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301033704971
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1301033704971
java.specification.name,sysinfo,,,"Java Platform API Specification",1301033704971
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301033704971
java.specification.version,sysinfo,,,"1.6",1301033704971
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301033704971
java.version,sysinfo,,,"1.6.0_21",1301033704971
java.vm.info,sysinfo,,,"mixed mode",1301033704971
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1301033704971
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301033704971
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301033704971
java.vm.specification.version,sysinfo,,,"1.0",1301033704971
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301033704971
java.vm.version,sysinfo,,,"17.0-b17",1301033704971
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1301033706031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033707483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033717519
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1301033734870
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1301033735035
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1301033735107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033737396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033739966
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1301033770690
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1301033770928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033774063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301033793561
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301033793836
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301033794036
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1301033800247
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301033800264
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1301033801053
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301033802932
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301033803260
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301033804723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1301033808365
